deaths,cases,Country,Date
0,1,Senegal,22/12/14
1,4,United States of America,23/12/14
0,1,Senegal,23/12/14
,7,Mali,23/12/14
7,19,Nigeria,23/12/14
,3085,Liberia,23/12/14
0,1,Spain,23/12/14
2216,7017,Sierra Leone,23/12/14
1344,2284,Guinea,23/12/14
0,1,Senegal,24/12/14
1344,2284,Guinea,24/12/14
,3085,Liberia,24/12/14
1,4,United States of America,24/12/14
,7,Mali,24/12/14
0,1,Spain,24/12/14
2216,7017,Sierra Leone,24/12/14
7,19,Nigeria,24/12/14
1385,2342,Guinea,26/12/14
,3085,Liberia,26/12/14
7,19,Nigeria,26/12/14
0,1,Spain,26/12/14
1,4,United States of America,26/12/14
2289,7160,Sierra Leone,26/12/14
0,1,Senegal,26/12/14
,7,Mali,26/12/14
,7,Mali,29/12/14
2366,7326,Sierra Leone,29/12/14
1,4,United States of America,29/12/14
0,1,Spain,29/12/14
,3108,Liberia,29/12/14
0,1,Senegal,29/12/14
1422,2384,Guinea,29/12/14
7,19,Nigeria,29/12/14
2392,7354,Sierra Leone,30/12/14
0,1,Spain,30/12/14
7,19,Nigeria,30/12/14
,3108,Liberia,30/12/14
,7,Mali,30/12/14
0,1,Senegal,30/12/14
1,4,United States of America,30/12/14
1433,2397,Guinea,30/12/14
1433,2397,Guinea,31/12/14
,3110,Liberia,31/12/14
0,1,Spain,31/12/14
0,1,Senegal,31/12/14
2392,7354,Sierra Leone,31/12/14
7,19,Nigeria,31/12/14
1,4,United States of America,31/12/14
,7,Mali,31/12/14
,7,Mali,02/01/15
2461,7476,Sierra Leone,02/01/15
1463,2435,Guinea,02/01/15
,1,United Kingdom,02/01/15
0,1,Senegal,02/01/15
,3110,Liberia,02/01/15
7,19,Nigeria,02/01/15
0,1,Spain,02/01/15
1,4,United States of America,02/01/15
1488,2465,Guinea,05/01/15
2549,7570,Sierra Leone,05/01/15
,7,Mali,05/01/15
0,1,Senegal,05/01/15
,3116,Liberia,05/01/15
1,4,United States of America,05/01/15
0,1,Spain,05/01/15
,1,United Kingdom,05/01/15
7,19,Nigeria,05/01/15
0,1,Senegal,06/01/15
,7,Mali,06/01/15
1,4,United States of America,06/01/15
0,1,United Kingdom,06/01/15
0,1,Spain,06/01/15
7,19,Nigeria,06/01/15
2577,7602,Sierra Leone,06/01/15
